备用字段,节点,数量,行为,资源名称,资源品质,活动类型,活动上线日期,活动下线日期,限时资源上线日期,限时资源到期日期,资源类型,价值,资源截图,季度,年份1,月,价值高低,月份,文本 4,父记录
鱿鱼游戏工作人员组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/07/18,2025/07/31,,,永久,1000,img_v3_02od_88b1a3ff-48c0-4622-aac3-e37867fd100g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色完整皮肤,
鱿鱼游戏工作人员组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,角色皮肤散件,紫品（A+）,付费,2025/07/18,2025/07/31,,,永久,400,img_v3_02od_88b1a3ff-48c0-4622-aac3-e37867fd100g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色皮肤散件,
鱿鱼游戏工作人员组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,墙皮,紫品（A+）,付费,2025/07/18,2025/07/31,,,永久,400,img_v3_02od_88b1a3ff-48c0-4622-aac3-e37867fd100g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）墙皮,
鱿鱼游戏工作人员组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,背包,橙品（S/SP）,付费,2025/07/18,2025/07/31,,,永久,300,img_v3_02od_88b1a3ff-48c0-4622-aac3-e37867fd100g.jpg,2025年年3季度,2025年,2025年7月,局内--中低价值外显资源,7,橙品（S/SP）背包,
鱿鱼游戏-语音包,2025.07 鱿鱼游戏,2,登录、对战、杀敌等综合行为,金币抽奖盒,其他,活跃,2025/07/18,2025/07/27,,,永久,0,image.png,2025年年3季度,2025年,2025年7月,,7,其他金币抽奖盒,
鱿鱼游戏-语音包,2025.07 鱿鱼游戏,2,登录、对战、杀敌等综合行为,语音包,橙品（S/SP）,活跃,2025/07/18,2025/07/27,,,永久,,image.png,2025年年3季度,2025年,2025年7月,局外社交外显资源,7,橙品（S/SP）语音包,
鱿鱼游戏-语音包,2025.07 鱿鱼游戏,3,登录、对战、杀敌等综合行为,皮肤抽奖宝箱,其他,活跃,2025/07/18,2025/07/27,,,永久,40,image.png,2025年年3季度,2025年,2025年7月,盲盒类资源,7,其他皮肤抽奖宝箱,
鱿鱼游戏-游玩时长,2025.07 鱿鱼游戏,5,玩30、60、120分钟,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/07/21,2025/07/30,,,限时,40,image.png,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（蓝色）常驻抽奖池2--抽奖券,
鱿鱼游戏-游玩时长,2025.07 鱿鱼游戏,1,玩30、60、120分钟,动作,蓝品（A）,活跃,2025/07/21,2025/07/30,,,永久,300,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,蓝品（A）动作,
鱿鱼游戏玩家组合包,2025.07 鱿鱼游戏,1,必中轮盘抽一少一保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/07/21,2025/07/31,,,永久,1000,img_v3_02od_a15a342b-0066-4d03-b9ba-f68ddc14ef6g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色完整皮肤,
鱿鱼游戏玩家组合包,2025.07 鱿鱼游戏,1,必中轮盘抽一少一保底抽奖,角色皮肤散件,紫品（A+）,付费,2025/07/21,2025/07/31,,,永久,400,img_v3_02od_a15a342b-0066-4d03-b9ba-f68ddc14ef6g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色皮肤散件,
泡泡拳上架,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/07/23,2025/07/29,,,永久,500,"img_v3_02ok_5ca23629-7497-46d8-9ac2-c59eaa3e7acg.jpg,img_v3_02ok_51284413-dd27-4364-9ea0-fac2a82db99g.jpg",2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）近战武器皮肤,
泡泡拳上架,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/07/23,2025/07/29,,,永久,500,"img_v3_02ok_5ca23629-7497-46d8-9ac2-c59eaa3e7acg.jpg,img_v3_02ok_51284413-dd27-4364-9ea0-fac2a82db99g.jpg",2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）近战武器皮肤,
泡泡拳上架,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,墙皮,紫品（A+）,付费,2025/07/23,2025/07/29,,,永久,400,"img_v3_02ok_5ca23629-7497-46d8-9ac2-c59eaa3e7acg.jpg,img_v3_02ok_51284413-dd27-4364-9ea0-fac2a82db99g.jpg",2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）墙皮,
泡泡拳上架,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,背包,紫品（A+）,付费,2025/07/23,2025/07/29,,,永久,200,"img_v3_02ok_5ca23629-7497-46d8-9ac2-c59eaa3e7acg.jpg,img_v3_02ok_51284413-dd27-4364-9ea0-fac2a82db99g.jpg",2025年年3季度,2025年,2025年7月,局内--中低价值外显资源,7,紫品（A+）背包,
日常登录活跃活动,2025.07 鱿鱼游戏,5,登录,枪械皮肤,橙品（S/SP）,活跃,2025/07/25,2025/07/29,,,限时,,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）枪械皮肤,
累充,2025.07 鱿鱼游戏,5,充70钻,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2025/07/25,2025/08/02,,,限时,40,img_v3_02ok_3bc94d6b-6fab-40a5-b188-344f0b7fee5g.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（橙色）常驻3合1抽奖池--抽奖券,
Q龙组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/07/25,2025/08/07,,,永久,2000,img_v3_02ok_26d60f6a-0dc5-451c-ac3f-67013f09805g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）角色完整皮肤,
Q龙组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/07/25,2025/08/07,,,永久,1000,img_v3_02ok_26d60f6a-0dc5-451c-ac3f-67013f09805g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色完整皮肤,
累充,2025.07 鱿鱼游戏,2,充140钻,武器抽奖宝箱,其他,付费,2025/07/25,2025/08/02,,,永久,40,img_v3_02ok_3bc94d6b-6fab-40a5-b188-344f0b7fee5g.jpg,2025年年3季度,2025年,2025年7月,盲盒类资源,7,其他武器抽奖宝箱,
累充,2025.07 鱿鱼游戏,12,充12钻,钻石,其他,付费,2025/07/25,2025/08/02,,,永久,1,img_v3_02ok_3bc94d6b-6fab-40a5-b188-344f0b7fee5g.jpg,2025年年3季度,2025年,2025年7月,,7,其他钻石,
日常游玩场次活跃,2025.07 鱿鱼游戏,5,玩3场,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/07/27,2025/07/30,,,限时,40,img_v3_02ok_b111ce91-223e-47bb-9d6a-9736d36716ag.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（蓝色）常驻抽奖池2--抽奖券,
日常登录活跃活动,2025.07 鱿鱼游戏,5,登录1-3天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/07/27,2025/07/30,,,限时,40,img_v3_02ok_3250fc65-4cee-4e9b-adac-69efe596844g.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（橙色）常驻3合1抽奖池--抽奖券,
嘻哈组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/07/28,2025/08/18,,,永久,2000,img_v3_02ok_526a58ca-b02e-447f-b84f-f47d67c4d3cg.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）角色完整皮肤,
嘻哈组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/07/28,2025/08/18,,,永久,1000,img_v3_02ok_526a58ca-b02e-447f-b84f-f47d67c4d3cg.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色完整皮肤,
嘻哈组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,角色皮肤散件,紫品（A+）,付费,2025/07/28,2025/08/18,,,永久,400,img_v3_02ok_526a58ca-b02e-447f-b84f-f47d67c4d3cg.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色皮肤散件,
嘻哈组合包,2025.07 鱿鱼游戏,1,代币转盘保底抽奖,墙皮,紫品（A+）,付费,2025/07/28,2025/08/18,,,永久,400,img_v3_02ok_526a58ca-b02e-447f-b84f-f47d67c4d3cg.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）墙皮,
网红dika的联动活跃--游玩场次,2025.07 鱿鱼游戏,1,玩2、4、8、12、20场次,动作,蓝品（A）,活跃,2025/07/30,2025/08/30,2025/07/30,2025/07/31,限时,,img_v3_02or_e230d1d6-3d0d-4b84-9d3b-a6500ba890fg.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,蓝品（A）动作,
使用新角色活跃活动,2025.08 火影忍者2,1,登录,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/07/30,2025/08/10,,,限时,40,img_v3_02or_fa99753f-a38b-4e0a-b5b0-7f0d9cf8708g.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（蓝色）常驻抽奖池2--抽奖券,
使用新角色活跃活动,2025.08 火影忍者2,2,登录,英雄,其他,活跃,2025/07/30,2025/08/10,2025/07/30,2025/08/06,限时,,img_v3_02or_fa99753f-a38b-4e0a-b5b0-7f0d9cf8708g.jpg,2025年年3季度,2025年,2025年7月,,7,其他英雄,
网红dika的联动活跃--游玩场次,2025.08 火影忍者2,5,玩2、4、8、12、20场次,（黄色）常驻抽奖池1--抽奖券,其他,活跃,2025/07/30,2025/08/30,,,限时,0,img_v3_02or_e230d1d6-3d0d-4b84-9d3b-a6500ba890fg.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（黄色）常驻抽奖池1--抽奖券,
使用指定枪械活跃活动,2025.08 火影忍者2,5,使用特定枪械,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/07/30,2025/08/10,,,限时,40,img_v3_02or_61c30e2f-d9a1-4e01-9e05-f4a728045a0g.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（蓝色）常驻抽奖池2--抽奖券,
登录领取角色体验卡,2025.08 火影忍者2,6,登录,英雄,其他,活跃,2025/07/30,2025/08/10,2025/07/30,2025/08/06,限时,,image.png,2025年年3季度,2025年,2025年7月,,7,其他英雄,
网红dika的联动活跃--游玩场次,2025.08 火影忍者2,1,玩2、4、8、12、20场次,动作,蓝品（A）,活跃,2025/07/30,2025/08/30,,,永久,300,img_v3_02or_e230d1d6-3d0d-4b84-9d3b-a6500ba890fg.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,蓝品（A）动作,
网红dika的联动活跃--游玩场次,2025.08 火影忍者2,2,玩2、4、8、12、20场次,皮肤抽奖宝箱,其他,活跃,2025/07/30,2025/08/30,,,永久,40,img_v3_02or_e230d1d6-3d0d-4b84-9d3b-a6500ba890fg.jpg,2025年年3季度,2025年,2025年7月,盲盒类资源,7,其他皮肤抽奖宝箱,
火影--累充,2025.08 火影忍者2,5,组队3人,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2025/07/31,2025/08/13,,,限时,40,img_v3_02or_78a94b2f-fa6e-4e47-906c-9ff34791949g.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（橙色）常驻3合1抽奖池--抽奖券,
火影--累充,2025.08 火影忍者2,5,组队4人,（蓝色）常驻抽奖池2--抽奖券,其他,付费,2025/07/31,2025/08/13,,,限时,40,img_v3_02or_78a94b2f-fa6e-4e47-906c-9ff34791949g.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（蓝色）常驻抽奖池2--抽奖券,
火影--目标达人主活跃,2025.08 火影忍者2,10,登录、对战、杀敌等综合行为,当期限时抽奖活动--抽奖券,其他,活跃,2025/07/31,2025/08/31,,,限时,8,image.png,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他当期限时抽奖活动--抽奖券,
火影--目标达人主活跃,2025.08 火影忍者2,10,登录、对战、杀敌等综合行为,当期限时抽奖活动--抽奖券,其他,活跃,2025/07/31,2025/08/31,,,限时,8,image.png,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他当期限时抽奖活动--抽奖券,
火影--目标达人主活跃,2025.08 火影忍者2,10,登录、对战、杀敌等综合行为,当期限时抽奖活动--抽奖券,其他,活跃,2025/07/31,2025/08/31,,,限时,8,image.png,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他当期限时抽奖活动--抽奖券,
火影--目标达人主活跃,2025.08 火影忍者2,10,登录、对战、杀敌等综合行为,当期限时抽奖活动--抽奖券,其他,活跃,2025/07/31,2025/08/31,,,限时,8,image.png,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他当期限时抽奖活动--抽奖券,
火影--鼬抽奖,2025.08 火影忍者2,15,无保底抽奖,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2025/07/31,2025/08/31,,,限时,40,img_v3_02or_5f8d8845-9198-4829-80cf-df018cf4a97g.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（橙色）常驻3合1抽奖池--抽奖券,
火影--目标达人主活跃,2025.08 火影忍者2,1,登录、对战、杀敌等综合行为,头像,紫品（A+）,活跃,2025/07/31,2025/08/31,,,永久,0,image.png,2025年年3季度,2025年,2025年7月,局外社交外显资源,7,紫品（A+）头像,
火影--目标达人主活跃,2025.08 火影忍者2,1,登录、对战、杀敌等综合行为,角色完整皮肤,紫品（A+）,活跃,2025/07/31,2025/08/31,,,永久,1000,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色完整皮肤,
火影--游戏内参与联动玩法,2025.08 火影忍者2,1,参与局内特定玩法,称号,橙品（S/SP）,活跃,2025/07/31,2025/08/31,,,永久,,image.png,2025年年3季度,2025年,2025年7月,,7,橙品（S/SP）称号,
火影--鼬抽奖,2025.08 火影忍者2,1,无保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/07/31,2025/08/31,,,永久,2000,img_v3_02or_5f8d8845-9198-4829-80cf-df018cf4a97g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）角色完整皮肤,
火影--累充,2025.08 火影忍者2,1,组队5人,角色皮肤散件,紫品（A+）,付费,2025/07/31,2025/08/13,,,永久,400,img_v3_02or_78a94b2f-fa6e-4e47-906c-9ff34791949g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色皮肤散件,
火影--鼬抽奖,2025.08 火影忍者2,5,无保底抽奖,进化武器代币幸运箱,其他,付费,2025/07/31,2025/08/31,,,永久,,img_v3_02or_5f8d8845-9198-4829-80cf-df018cf4a97g.jpg,2025年年3季度,2025年,2025年7月,,7,其他进化武器代币幸运箱,
火影--鼬抽奖,2025.08 火影忍者2,20,无保底抽奖,（银色）常驻网页活动兑换币,其他,付费,2025/07/31,2025/08/31,,,永久,,img_v3_02or_5f8d8845-9198-4829-80cf-df018cf4a97g.jpg,2025年年3季度,2025年,2025年7月,,7,其他（银色）常驻网页活动兑换币,
火影--累充,2025.08 火影忍者2,100,组队2人,钻石,其他,付费,2025/07/31,2025/08/13,,,永久,1,img_v3_02or_78a94b2f-fa6e-4e47-906c-9ff34791949g.jpg,2025年年3季度,2025年,2025年7月,,7,其他钻石,
火影-登陆天数,2025.08 火影忍者2,2,登录1、3、5天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/08/02,2025/08/15,,,限时,40,img_v3_02or_9b39e027-064d-42f1-b01b-f5f9fffae31g.jpg,2025年年3季度,2025年,2025年8月,抽奖券类资源,8,其他（橙色）常驻3合1抽奖池--抽奖券,
火影-登陆天数,2025.08 火影忍者2,5,登录1、3、5天,等待大厅互动资源,其他,活跃,2025/08/02,2025/08/15,,,限时,,img_v3_02or_9b39e027-064d-42f1-b01b-f5f9fffae31g.jpg,2025年年3季度,2025年,2025年8月,,8,其他等待大厅互动资源,
火影-登陆天数,2025.08 火影忍者2,1,登录1、3、5天,头像,紫品（A+）,活跃,2025/08/02,2025/08/15,,,永久,0,img_v3_02or_9b39e027-064d-42f1-b01b-f5f9fffae31g.jpg,2025年年3季度,2025年,2025年8月,局外社交外显资源,8,紫品（A+）头像,
火影--神秘商店,2025.08 火影忍者2,1,折扣商店直售,角色完整皮肤,橙品（S/SP）,付费,2025/08/02,2025/08/14,,,永久,2000,"img_v3_02or_d267fa2f-f045-4495-878f-6e55366a67ag.jpg,img_v3_02or_09b75d11-4cc1-4c00-a195-37493b01bc8g.jpg,img_v3_02or_fedc1e84-7590-4436-812c-f04a6c38e6eg.jpg",2025年年3季度,2025年,2025年8月,局内--高价值外显资源,8,橙品（S/SP）角色完整皮肤,
火影--神秘商店,2025.08 火影忍者2,1,折扣商店直售,近战武器皮肤,紫品（A+）,付费,2025/08/02,2025/08/14,,,永久,400,"img_v3_02or_d267fa2f-f045-4495-878f-6e55366a67ag.jpg,img_v3_02or_09b75d11-4cc1-4c00-a195-37493b01bc8g.jpg,img_v3_02or_fedc1e84-7590-4436-812c-f04a6c38e6eg.jpg",2025年年3季度,2025年,2025年8月,局内--高价值外显资源,8,紫品（A+）近战武器皮肤,
火影--神秘商店,2025.08 火影忍者2,1,折扣商店直售,动作,橙品（S/SP）,付费,2025/08/02,2025/08/14,,,永久,500,"img_v3_02or_d267fa2f-f045-4495-878f-6e55366a67ag.jpg,img_v3_02or_09b75d11-4cc1-4c00-a195-37493b01bc8g.jpg,img_v3_02or_fedc1e84-7590-4436-812c-f04a6c38e6eg.jpg",2025年年3季度,2025年,2025年8月,局内--高价值外显资源,8,橙品（S/SP）动作,
火影--神秘商店,2025.08 火影忍者2,1,折扣商店直售,近战武器皮肤,紫品（A+）,付费,2025/08/02,2025/08/14,,,永久,400,"img_v3_02or_d267fa2f-f045-4495-878f-6e55366a67ag.jpg,img_v3_02or_09b75d11-4cc1-4c00-a195-37493b01bc8g.jpg,img_v3_02or_fedc1e84-7590-4436-812c-f04a6c38e6eg.jpg",2025年年3季度,2025年,2025年8月,局内--高价值外显资源,8,紫品（A+）近战武器皮肤,
火影--游玩场次,2025.08 火影忍者2,5,游玩2、5、12场次,等待大厅互动资源,其他,活跃,2025/08/04,2025/08/17,,,限时,,img_v3_02or_887595ae-fe64-46d9-b9b8-1f0e8687e51g.jpg,2025年年3季度,2025年,2025年8月,,8,其他等待大厅互动资源,
火影--游玩场次,2025.08 火影忍者2,1,游玩2、5、12场次,角色皮肤散件,紫品（A+）,活跃,2025/08/04,2025/08/17,,,永久,400,img_v3_02or_887595ae-fe64-46d9-b9b8-1f0e8687e51g.jpg,2025年年3季度,2025年,2025年8月,局内--高价值外显资源,8,紫品（A+）角色皮肤散件,
火影--乌鸦分散动作,2025.08 火影忍者2,1,必中轮盘抽一少一保底抽奖,动作,橙品（S/SP）,付费,2025/08/04,2025/08/17,,,永久,500,img_v3_02p3_51ebf1c7-ce60-4610-890a-f7ccc6fcb01g.jpg,2025年年3季度,2025年,2025年8月,局内--高价值外显资源,8,橙品（S/SP）动作,
火影--游玩场次,2025.08 火影忍者2,2,游玩2、5、12场次,武器抽奖宝箱,其他,活跃,2025/08/04,2025/08/17,,,永久,40,img_v3_02or_887595ae-fe64-46d9-b9b8-1f0e8687e51g.jpg,2025年年3季度,2025年,2025年8月,盲盒类资源,8,其他武器抽奖宝箱,
火影--击杀敌人数量,2025.08 火影忍者2,1,击杀5、12、25个人,背景卡（名片）,紫品（A+）,活跃,2025/08/06,2025/08/17,,,永久,0,img_v3_02p2_0f6b69c5-b17f-4203-b667-b446b77e297g.jpg,2025年年3季度,2025年,2025年8月,局外社交外显资源,8,紫品（A+）背景卡（名片）,
火影--鼬皮肤枪械,2025.08 火影忍者2,1,代币转盘保底抽奖,枪械皮肤,橙品（S/SP）,付费,2025/08/06,2025/08/24,,,永久,2000,img_v3_02p2_2ae3beb9-af89-4ca0-bcc7-64eb511b603g.jpg,2025年年3季度,2025年,2025年8月,局内--高价值外显资源,8,橙品（S/SP）枪械皮肤,
火影--鼬皮肤枪械,2025.08 火影忍者2,1,代币转盘保底抽奖,近战武器皮肤,紫品（A+）,付费,2025/08/06,2025/08/24,,,永久,400,img_v3_02p2_2ae3beb9-af89-4ca0-bcc7-64eb511b603g.jpg,2025年年3季度,2025年,2025年8月,局内--高价值外显资源,8,紫品（A+）近战武器皮肤,
火影--击杀敌人数量,2025.08 火影忍者2,2,击杀5、12、25个人,武器抽奖宝箱,其他,活跃,2025/08/06,2025/08/17,,,永久,40,img_v3_02p2_0f6b69c5-b17f-4203-b667-b446b77e297g.jpg,2025年年3季度,2025年,2025年8月,盲盒类资源,8,其他武器抽奖宝箱,
火影--击杀敌人数量,2025.08 火影忍者2,2,击杀5、12、25个人,武器抽奖宝箱,其他,活跃,2025/08/06,2025/08/17,,,永久,40,img_v3_02p2_0f6b69c5-b17f-4203-b667-b446b77e297g.jpg,2025年年3季度,2025年,2025年8月,盲盒类资源,8,其他武器抽奖宝箱,
火影--阵营战,2025.08 火影忍者2,1,社媒随机抽奖,角色完整皮肤,橙品（S/SP）,活跃,2025/08/08,2025/08/21,,,永久,2000,image.png,2025年年3季度,2025年,2025年8月,局内--高价值外显资源,8,橙品（S/SP）角色完整皮肤,
